Intersection,Postal Code,Vehicle Traffic,Pedestrian Traffic
DIXON RD and MARTIN GROVE RD,M9W,18377,352
EGLINTON AVE W and ROSTREVOR RD,M6C 2C3,13794,1025
BROADVIEW AVE and CHESTER HILL RD,M4K 2R4,9311,833
BROADVIEW AVE and MORTIMER AVE,M4K 2S2,14845,1027
BROADVIEW AVE and COSBURN AVE,M4K 2S5,10153,544
O CONNOR DR and PAPE AVE,M4K 2K7,20064,846
O CONNOR DR and DONLANDS AVE,M4J 2T8,18634,366
O CONNOR DR and DON MILLS RD,M4J,27109,84
O CONNOR DR and COXWELL AVE,M4J 2W9,19888,279
O CONNOR DR and WOODBINE AVE,M4C,30375,136
O CONNOR DR and ST CLAIR AVE E,M4B 2S5,25974,684
O CONNOR DR and BERMONDSEY RD,M4B 2T8,14156,186
O CONNOR DR and VICTORIA PARK AVE,M4A,27980,1929
EGLINTON AVE E and EGLINTON SQ,M1L 4T2,29192,446
EGLINTON AVE E and VICTORIA PARK AVE,M4A,33095,2166
EGLINTON AVE E and PHARMACY AVE,M1L,33335,1396
EGLINTON AVE E and LESLIE ST,M3C,35069,194
DON MILLS RD and EGLINTON AVE E,M3C 1V4,45185,2597
EGLINTON AVE E and BERMONDSEY RD,M4A,29625,1016
EGLINTON AVE E and WARDEN AVE,M1L,35905,1947
EGLINTON AVE E and SINNOTT RD,M1L,19797,672
EGLINTON AVE E and BIRCHMOUNT RD,M1K,39450,3069
EGLINTON AVE E and IONVIEW RD,M1K 2Z2,18929,585
EGLINTON AVE E and KENNEDY RD,M1K,29069,1957
EGLINTON AVE E and MIDLAND AVE,M1K,30334,2723
EGLINTON AVE E and BRIMLEY RD,M1J,27971,2174
EGLINTON AVE E and MARKHAM RD,M1J,18188,4335
EGLINTON AVE W and HARVIE AVE,M6E 2K5,11503,588
EGLINTON AVE W and CALEDONIA RD,M6E 2L1,18790,1678
EGLINTON AVE W and RICHARDSON AVE,M6M 1T2,14227,912
EGLINTON AVE W and KEELE ST,M6M 1T4,23992,4103
EGLINTON AVE W and WESTON RD,M6M,22533,2203
TRETHEWEY DR and YORE RD,M6M 4A9,15879,203
ST CLAIR AVE E and SELWYN AVE,M4B 1M9,13632,1170
ST CLAIR AVE E and VICTORIA PARK AVE,M1L,28021,2634
PHARMACY AVE and ST CLAIR AVE E,M1L,24239,414
WARDEN AVE and ST CLAIR AVE E,M1L,27581,741
ST CLAIR AVE E and BIRCHMOUNT RD,M1L,22253,1019
ST CLAIR AVE E and KENNEDY RD,M1K,18913,363
ST CLAIR AVE E and MIDLAND AVE,M1N,13859,446
DANFORTH AVE and PLAYTER BLVD,M4K 1N4,9921,3294
ST CLAIR AVE W and RUSSELL HILL RD,M4V,11716,834
ST CLAIR AVE W and SPADINA RD,M5P,17770,2028
ST CLAIR AVE W and BATHURST ST,M5P,22508,7838
YONGE ST and AVONDALE AVE,M2N,39866,4186
YONGE ST and BRIAR HILL AVE,M4P,16438,5249
DUNDAS ST W and CHESTNUT ST,M7A 0A1,10171,17916
ST CLAIR AVE W and VAUGHAN RD,M6C,14087,5943
ST CLAIR AVE W and CHRISTIE ST,M6C 1B2,13380,2819
ST CLAIR AVE W and WINONA DR,M6C 1C5,5493,2989
ST CLAIR AVE W and OAKWOOD AVE,M6E 2T8,15864,4316
DUFFERIN ST and ST CLAIR AVE W,M6E 1B3,18027,11935
ST CLAIR AVE W and LANSDOWNE AVE,M6E,9082,3079
ST CLAIR AVE W and CALEDONIA RD,M6E 1C7,17142,1496
ST CLAIR AVE W and SILVERTHORN AVE,M6N 1J1,9576,1341
ST CLAIR AVE W and OLD WESTON RD,M6N 1J5,16915,2020
ST CLAIR AVE W and KEELE ST,M6N 0A1,23692,3203
ST CLAIR AVE W and RUNNYMEDE RD,M6N 1L2,17252,1781
JANE ST and ST CLAIR AVE W,M6N 4Z5,23568,637
DUNDAS ST W and SCARLETT RD,M6S,18883,344
ST CLAIR AVE E and BRIMLEY RD,M1M 1M5,12683,585
ST CLAIR AVE E and AVOCA AVE,M4T 1N6,12494,975
MORNINGSIDE AVE and LAWRENCE AVE E,M1E 0A7,15697,1614
LAWRENCE AVE W and HICKORY TREE RD,M9N,13616,389
LAWRENCE AVE W and CHATSWORTH DR,M5M 1A8,14040,756
LAWRENCE AVE E and GALLOWAY RD,M1E,18323,1272
LAWRENCE AVE E and CROCKFORD BLVD,M1R 2Z4,22741,395
AVENUE RD and WOBURN AVE,M5M 3X8,19834,1033
BATHURST ST and AVA RD,M5P 3K4,16511,282
BATHURST ST and WARWICK AVE,M5P 3J8,15207,339
YONGE ST and ROSEHILL AVE,M4T 1Y5,14736,5086
YONGE ST and WILLIAM CARSON CRES,M2P,27056,710
BLOOR ST W and BRUNSWICK AVE,M5S 1X4,8340,7093
BLOOR ST W and BEDFORD RD,M5S,10868,10951
DUNDAS ST W and PAULART DR,M9B 1B8,22100,243
VICTORIA PARK AVE and CASSANDRA BLVD,M1R 1V4,19811,484
VICTORIA PARK AVE and BASSETT AVE,M4B 2L2,10590,302
VICTORIA PARK AVE and ELVASTON DR,M4A 1M9,13624,493
VICTORIA PARK AVE and SURREY AVE,M1R 1S1,23282,238
VICTORIA PARK AVE and CURLEW DR,M3A 1K1,19147,502
VICTORIA PARK AVE and ELLESMERE RD,M1R,26566,3342
VICTORIA PARK AVE and YORK MILLS RD,M1R 1W4,21525,449
VICTORIA PARK AVE and PARMA CRT,M4A 1A5,12265,119
O CONNOR DR and SUNRISE AVE,M4A 1W4,13161,740
JANE ST and EXBURY RD,M3M,14139,737
JANE ST and ANNETTE ST,M6S 3Z5,12477,1232
JANE ST and ST JOHNS RD,M6S 2L3,10982,378
JANE ST and FOXWELL ST,M6N 4B9,13768,1464
JANE ST and ALLIANCE AVE,M6N,14196,645
JANE ST and EAST DR,M6N 2N8,14364,441
JANE ST and LAMBTON AVE,M6M,13498,270
WESTON RD and JANE ST,M6N 4C2,25124,3481
JANE ST and TRETHEWEY DR,M9N,17286,1500
JANE ST and MAPLE LEAF DR,M6L 3E4,25085,1172
JANE ST and FALSTAFF AVE,M9N 2V4,26241,1354
WILSON AVE and JANE ST,M3M,28996,5651
SHEPPARD AVE W and JANE ST,M3L,22149,2188
FINCH AVE W and JANE ST,M3N,31117,6797
STEELES AVE W and JANE ST,L4K 1A6,33610,1910
DIXON RD and CARLINGVIEW DR,M9W 1J8,20332,512
KING ST W and NIAGARA ST,M5V 1C9,11450,2931
KING ST W and STRACHAN AVE,M5V 1P5,13533,4681
KING ST W and DUFFERIN ST,M6K 1G3,13926,5310
KING ST W and JAMESON AVE,M6K 2Y3,12167,5191
DAVENPORT RD and BELMONT ST,M5R 1H8,15594,1209
DUNDAS ST W and DENISON AVE,M5T 2N2,9481,4598
QUEEN ST E and BROADVIEW AVE,M4M 1G6,10844,4441
QUEEN ST E and LOGAN AVE,M4M 1J2,11325,3049
QUEEN ST E and CARLAW AVE,M4M 1J6,12361,3128
QUEEN ST E and JONES AVE,M4M 1L5,8225,1549
QUEEN ST E and LESLIE ST,M4L 1C3,8546,1685
QUEEN ST E and WOODBINE AVE,M4L 3P2,17305,2993
QUEEN ST E and LEE AVE,M4E 1E5,15374,3476
QUEEN ST E and WINEVA AVE,M4E 1E8,10618,3167
QUEEN ST E and BEECH AVE,M4E 1H2,9048,2129
QUEEN ST W and AUGUSTA AVE,M5V 2A8,7737,6250
QUEEN ST W and NIAGARA ST,M6J 1E9,7820,1231
QUEEN ST W and SHAW ST,M6J 1H2,11185,2755
QUEEN ST W and OSSINGTON AVE,M6J 0A7,11628,4053
QUEEN ST W and DOVERCOURT RD,M6J 1H3,10043,1734
EGLINTON AVE W and FLANDERS RD,M6C 2C9,17549,344
QUEEN ST W and KING ST W,Canada,11428,2278
THE QUEENSWAY and COLBORNE LODGE DR,M6R,14367,642
THE QUEENSWAY and ELLIS AVE,M6R,16297,455
THE QUEENSWAY and WINDERMERE AVE,M6S 5B4,18547,1446
THE QUEENSWAY and STEPHEN DR,M8Y 1J2,19213,324
THE QUEENSWAY and PARK LAWN RD,M8Y,25901,519
THE QUEENSWAY and ROYAL YORK RD,M8Y,23495,1832
THE QUEENSWAY and TAYMALL AVE,M8Z,22298,448
THE QUEENSWAY and ISLINGTON AVE,M8Z 1P6,41090,1139
THE QUEENSWAY and KIPLING AVE,M8Z,33000,355
VICTORIA PARK AVE and MCNICOLL AVE,M2H 2N5,15009,596
THE QUEENSWAY and ATOMIC AVE,M8Z 1T5,20873,428
STRACHAN AVE and FLEET ST,M5V,11246,265
CHURCH ST and ISABELLA ST,M4Y 2E4,9670,4585
PARKSIDE DR and HIGH PARK BLVD,M6R 1M8,14077,911
PARKSIDE DR and HOWARD PARK AVE,M6R 2Z3,14984,583
KEELE ST and GLENLAKE AVE,M6P,14910,1487
KEELE ST and ANNETTE ST,M6P 1N7,17195,933
WESTON RD and BLACK CREEK DR,M6N,22850,687
WESTON RD and LAMBTON AVE,M6N 3R9,7904,410
WESTON RD and RAY AVE,M6M 4P9,8253,569
WESTON RD and DENISON RD E,M9N 1V2,6704,458
WESTON RD and JOHN ST,Canada,6855,1228
WESTON RD and LITTLE AVE,M9N 1X2,9568,1392
WESTON RD and CHURCH ST,M9N 1X8,9201,721
WESTON RD and ST PHILLIPS RD,M9N 1Z8,20337,261
WESTON RD and 401 C E WESTON RD RAMP,M9N 3W1,28448,197
WESTON RD and 401 C W WESTON RD RAMP,M9N 3W1,31921,117
ALBION RD and WESTON RD,Canada,16101,669
WESTON RD and SHEPPARD AVE W,M9M,19786,450
WESTON RD and FINCH AVE W,M9M,33275,3092
KEELE ST and DONALD AVE,M6M 1K6,9466,1348
KEELE ST and BEECHBOROUGH AVE,M6M 3Z3,11967,274
KEELE ST and GULLIVER RD,M6M 3Z5,16893,1689
KEELE ST and FLAMBOROUGH DR,M6M 2P5,14349,676
KEELE ST and MAPLE LEAF DR,M6L 1P9,20077,222
KEELE ST and 401 C E KEELE ST RAMP,Canada,33776,316
KEELE ST and 401 C W KEELE ST RAMP,Canada,32531,487
KEELE ST and WILSON AVE,M3K,37314,3224
KEELE ST and TILBURY DR,M3M 2G6,20253,778
KEELE ST and CALVINGTON DR,M3M 2G9,19865,526
KEELE ST and SHEPPARD AVE W,M3M,28633,2043
FINCH AVE W and KEELE ST,M3J,14038,1885
STEELES AVE W and KEELE ST,L4K,39154,1414
AVENUE RD and HEATH ST W,M4V 2Y4,21501,933
O CONNOR DR and WAKUNDA PL,M4A 1A2,10868,637
COLLEGE ST and DUFFERIN ST,M6H 1B4,14803,5131
DUFFERIN ST and SYLVAN AVE,M6H,10922,378
DUFFERIN ST and HALLAM ST,M6H 4B7,12163,911
DUFFERIN ST and DUPONT ST,M6H 2A2,21475,2644
DUFFERIN ST and HOPE ST,M6E 3P5,12149,551
DUFFERIN ST and ROGERS RD,M6E 3P9,18229,2065
DUFFERIN ST and HOLMESDALE RD,M6E 3R3,12682,469
DUFFERIN ST and CASTLEFIELD AVE,M6B,22169,1115
DUFFERIN ST and GLENCAIRN AVE,M6B 3S6,19806,1073
DUFFERIN ST and ORFUS RD,M6A 2T2,19721,1334
DUFFERIN ST and BENTWORTH AVE,M6A 2T7,24404,787
DUFFERIN ST and BRIDGELAND AVE,M6A,27257,249
WILSON AVE and DUFFERIN ST,M3K,19454,1122
DUFFERIN ST and FINCH AVE W,M3H,35560,1056
STEELES AVE W and DUFFERIN ST,L4K 2P7,37360,1877
DON MILLS RD and OVERLEA BLVD,M3C,32000,6014
DON MILLS RD and ST DENNIS DR,M3C,25442,872
REXDALE BLVD and QUEENS PLATE DR,M9W,18772,270
DON MILLS RD and BARBER GREENE RD,M3C,24273,933
DON MILLS RD and THE DONWAY E,M3C,26186,199
DON MILLS RD and THE DONWAY E,M3C,22907,452
DON MILLS RD and YORK MILLS RD,M3A,36703,2306
SHEPPARD AVE E and DON MILLS RD,M2J,38172,1531
DON MILLS RD and VAN HORNE AVE,M2J 3C3,22979,1507
DON MILLS RD and ESTERBROOKE AVE,M2J,21140,2285
WILSON AVE and WILSON HEIGHTS BLVD,M3H,21511,475
SHEPPARD AVE W and WILSON HEIGHTS BLVD,M3H,32661,2093
WILSON HEIGHTS BLVD and WATERLOO AVE,M3H 3Z8,5324,102
KEELE ST and GRANDRAVINE DR,M3J 1M6,11576,237
DON MILLS RD and DUNCAN MILL RD,M3A,23590,1294
LAWRENCE AVE W and PINE ST,M9N 1H2,12971,1511
THE QUEENSWAY and ST LAWRENCE AVE,M8Z 1R1,15888,130
WESTON RD and BRADSTOCK RD,M9M 1M8,12974,1048
EGLINTON AVE E and MASON RD,M1J 2H1,18274,1023
YONGE ST and 401 C W YONGE ST S RAMP,Canada,42568,10
DUNDAS ST W and SORAUREN AVE,M6R 1W6,13636,608
ST CLAIR AVE E and HERRON AVE,M1L,16009,331
DONLANDS AVE and MILLWOOD RD,M4J 3S4,19015,141
BAYVIEW AVE and POST RD,M2L,28651,517
BAYVIEW AVE and YORK MILLS RD,M2L,26296,482
BAYVIEW AVE and FIFE RD,M2L 1B8,19359,606
BAYVIEW AVE and 401 C E BAYVIEW RAMP,L4C 1E6,34224,116
BAYVIEW AVE and 401 C W BAYVIEW RAMP,L4C 1E6,38081,354
SHEPPARD AVE E and BAYVIEW AVE,M2N,48835,2161
BAYVIEW AVE and CITATION DR,M2N,21680,244
BAYVIEW AVE and FINCH AVE E,M2M 3R7,37045,1087
BAYVIEW AVE and CUMMER AVE,M2K 1G5,25686,538
STEELES AVE E and BAYVIEW AVE,L3T 1A7,37327,470
BAYVIEW AVE and RUDDINGTON DR,M2K 2J7,19775,771
DAWES RD and SECORD AVE,M4C 5B9,8060,371
DAWES RD and GOWER ST,M4B 2E8,7243,1177
LUMSDEN AVE and MAIN ST,M4C 4Y4,8472,1003
COXWELL AVE and SAMMON AVE,M4J 2B6,9053,2703
GREENWOOD AVE and SAMMON AVE,M4J 2A3,8093,748
DONLANDS AVE and SAMMON AVE,M4J 3P8,7811,894
WOODBINE AVE and LUMSDEN AVE,M4C 4E1,14660,714
COXWELL AVE and MORTIMER AVE,M4J 5C2,12385,947
GREENWOOD AVE and MORTIMER AVE,M4J 2E6,10268,792
DONLANDS AVE and MORTIMER AVE,M4J 3R2,12339,712
MORTIMER AVE and PAPE AVE,M4K 3V2,16061,1819
WOODBINE AVE and COSBURN AVE,M4C 4G5,13743,878
COXWELL AVE and COSBURN AVE,M4C 3G3,13156,1838
COSBURN AVE and GREENWOOD AVE,M4J 2M9,8030,229
DONLANDS AVE and COSBURN AVE,M4J 3R6,13087,462
PAPE AVE and COSBURN AVE,M4K 3V9,13186,7481
BATHURST ST and INVERMAY AVE,M3H 3N4,15664,748
BATHURST ST and YORK DOWNS DR,M3H 2G7,18000,462
BATHURST ST and SHEPPARD AVE W,M3H,28885,2442
BATHURST ST and ELLERSLIE AVE,M2R,12940,935
BATHURST ST and HORSHAM AVE,M2R 1H2,17483,170
BATHURST ST and FINCH AVE W,M2R,35888,6373
BATHURST ST and DREWRY AVE,M2R,25127,1614
BATHURST ST and ROCKFORD RD,M2R,21721,1193
STEELES AVE W and BATHURST ST,L4J 2J6,36119,3202
OVERLEA BLVD and THORNCLIFFE PARK DR,M4H,17874,2479
OVERLEA BLVD and THORNCLIFFE PARK DR,M4H,14180,2178
LAIRD DR and MCRAE DR,M4G 3W2,15150,1029
LAIRD DR and MILLWOOD RD,M4G 3S8,22733,174
MILLWOOD RD and MCRAE DR,M4G 1S5,7982,976
MILLWOOD RD and SUTHERLAND DR,M4G 1W8,5206,581
SOUTHVALE DR and MILLWOOD RD,M4G,8873,118
MILLWOOD RD and VILLAGE STATION RD,M4H 1N1,15467,164
MILLWOOD RD and OVERLEA BLVD,M4H 1P6,23732,250
PHARMACY AVE and SURREY AVE,M1R 2G7,11729,933
WARDEN AVE and FIRVALLEY CRT,M1L 0G3,8457,821
WARDEN AVE and COMSTOCK RD,M1L,16573,763
MIDLAND AVE and PROGRESS AVE,M1P,19487,227
KENNEDY RD and PROGRESS AVE,M1P,29981,1487
ELLESMERE RD and PHARMACY AVE,M1R,24438,1697
WARDEN AVE and ELLESMERE RD,M1R,38566,1108
ELLESMERE RD and BIRCHMOUNT RD,M1P,32431,1683
KENNEDY RD and ELLESMERE RD,M1P 2L8,28790,1728
ELLESMERE RD and MIDLAND AVE,M1P,25211,512
ELLESMERE RD and BRIMLEY RD,M1P,24054,677
MCCOWAN RD and ELLESMERE RD,M1H,29600,1601
ELLESMERE RD and BELLAMY RD N,M1H,20222,840
MARKHAM RD and SHEPPARD AVE E,M1S 4N3,31662,1054
MARKHAM RD and ELLESMERE RD,M1H,30563,3011
MARKHAM RD and BRIMORTON DR,M1H 2Y7,18729,1380
MARKHAM RD and GREENCEDAR CRCT,Canada,15767,2065
ISLINGTON AVE and NORSEMAN ST,M8Z,19564,856
DUNDAS ST W and ISLINGTON AVE,M9A,31272,376
ISLINGTON AVE and RATHBURN RD,M9A 3L6,17332,221
ISLINGTON AVE and THE KINGSWAY,M9A,18172,97
EGLINTON AVE W and ISLINGTON AVE,M9A,32669,985
ISLINGTON AVE and SUMMITCREST DR,M9P 1H9,16055,214
ISLINGTON AVE and THE WESTWAY,M9P,20731,546
ISLINGTON AVE and 401 C E ISLINGTON RAMP,Canada,26521,143
ISLINGTON AVE and 401 C W ISLINGTON N RAMP,Canada,25740,180
REXDALE BLVD and ISLINGTON AVE,M9W,20171,91
ISLINGTON AVE and BERGAMOT AVE,M9W,17107,1120
ISLINGTON AVE and ELMHURST DR,M9W,16084,1335
ISLINGTON AVE and ALBION RD,M9V,28222,997
REXDALE BLVD and BERGAMOT AVE,M9W,14706,309
ELLESMERE RD and MORNINGSIDE AVE,M1C,17062,1660
EGLINTON AVE W and CASTLE KNOCK RD,M5N 1A4,10687,1811
WESTON RD and MCCORMACK ST,M6N 3P3,16442,270
WARDEN AVE and BAMBURGH CRCL,M1W 3X9,16977,1189
ALBION RD and ELMHURST DR,M9W 2P1,15959,291
KIPLING AVE and NORTH QUEEN ST,M8Z,23183,255
KIPLING AVE and NORSEMAN ST,M8Z,20231,300
KIPLING AVE and BURNHAMTHORPE RD,M9B,17805,148
KIPLING AVE and RATHBURN RD,M9A 1R7,15208,286
KIPLING AVE and PRINCESS MARGARET BLVD,M9B 2Z1,12983,119
EGLINTON AVE W and KIPLING AVE,M9B,31302,1176
KIPLING AVE and THE WESTWAY,M9R,15510,579
KIPLING AVE and BELFIELD RD,M9W,20664,235
REXDALE BLVD and KIPLING AVE,M9W 4J8,32041,1658
KIPLING AVE and WESTHUMBER BLVD,M9W,9940,981
ALBION RD and KIPLING AVE,M9V,24839,720
THE WEST MALL and EVANS AVE,M9C,16464,29
LESLIE ST and TALWOOD DR,M3B 2P6,16088,248
LESLIE ST and SOUTHWELL DR,M3B 2N7,21689,618
LESLIE ST and BANNATYNE DR,M2L 2P6,23421,825
SHEPPARD AVE W and WILMINGTON AVE,M3H,21079,1444
SHEPPARD AVE W and SENLAC RD,M2N 1N1,13952,390
SHEPPARD AVE E and WILLOWDALE AVE,M2N,18332,332
SHEPPARD AVE E and HAWKSBURY DR,M2K,22684,1073
SHEPPARD AVE E and BURBANK DR,M2K 1C4,18538,367
SHEPPARD AVE E and LESLIE ST,M2K,43601,1803
SHEPPARD AVE E and SHAUGHNESSY BLVD,M2J,18536,378
SHEPPARD AVE E and FAIRVIEW MALL DR,M2J,31362,157
SHEPPARD AVE E and 404 N SHEPPARD AVE RAMP,Canada,37615,327
SHEPPARD AVE E and VICTORIA PARK AVE,M1T,27789,3263
SHEPPARD AVE E and PHARMACY AVE,M1T,23952,830
SHEPPARD AVE E and WARDEN AVE,M1T,27706,2612
SHEPPARD AVE E and BIRCHMOUNT RD,M1T,27624,2561
KENNEDY RD and SHEPPARD AVE E,M1S,34649,4037
LESLIE ST and 401 C W LESLIE ST RAMP,Canada,36440,141
LESLIE ST and 401 C E LESLIE ST RAMP,Canada,39785,197
LESLIE ST and YORK MILLS RD,M3B,34929,1102
YORK MILLS RD and DVP N YORK MILLS W RAMP,Canada,20345,364
YORK MILLS RD and FENSIDE DR,M3A 1Z4,15574,1324
VICTORIA PARK AVE and 401 C W VICTORIA PR RAMP,Canada,27582,28
VICTORIA PARK AVE and 401 C E VICTORIA PR RAMP,Canada,35267,0
WARDEN AVE and 401 C W WARDEN AV RAMP,Canada,31051,14
WARDEN AVE and 401 C E WARDEN AV S RAMP,Canada,31679,13
BROWNS LINE and VALERMO DR,M8W,19000,116
BROWNS LINE and HORNER AVE,M8W,15384,542
KIPLING AVE and HORNER AVE,M8Z,16598,699
KIPLING AVE and EVANS AVE,M8Z,27591,1056
LAKE SHORE BLVD W and TWENTY SEVENTH ST,M8V 3L5,10258,1358
KIPLING AVE and BIRMINGHAM ST,M8V 3K8,9660,794
EGLINTON AVE E and HOYLE AVE,M4P 1P2,16650,648
ST CLAIR AVE W and NORTHCLIFFE BLVD,M6E 1A7,7611,2837
DWIGHT AVE and BIRMINGHAM ST,M8V 1X7,3813,488
DWIGHT AVE and NEW TORONTO ST,M8V 1Y1,3348,203
EGLINTON AVE W and WILLIAM R ALLEN RD S,M6C 3Z4,26562,5466
ROYAL YORK RD and MIMICO AVE,M8V 2V8,6453,895
EVANS AVE and HORNER AVE,M8Z,13910,58
ISLINGTON AVE and EVANS AVE,M8Z,16371,125
DUNDAS ST W and PRINCE EDWARD DR N,M8X 0A3,19911,385
DUNDAS ST W and BURNHAMTHORPE RD,M9A 1B5,20467,1662
DUNDAS ST W and SHAVER AVE S,M9B,26144,533
DUNDAS ST W and POPLAR AVE,M9B,24546,1332
LAWRENCE AVE W and THE WESTWAY,Canada,13369,352
EGLINTON AVE W and ROYAL YORK RD,M9P,27112,449
SCARLETT RD and EAST DR,M6N 4K8,10743,329
SCARLETT RD and EDENBRIDGE DR,M9A,12700,156
EGLINTON AVE W and SCARLETT RD,M9A,27560,931
BURNHAMTHORPE RD and MARTIN GROVE RD,M9B 2A1,15923,369
EGLINTON AVE W and MARTIN GROVE RD,M9R,30870,705
MARTIN GROVE RD and THE WESTWAY,M9R,10236,896
MARTIN GROVE RD and 401 X W MARTIN GROVE RAMP,Canada,13000,36
MARTIN GROVE RD and BELFIELD RD,M9W,11866,103
REXDALE BLVD and MARTIN GROVE RD,M9W,21340,486
ALBION RD and MARTIN GROVE RD,M9V,24263,1831
BLOOR ST W and THE EAST MALL,M9B,29287,742
BLOOR ST W and THE WEST MALL,M9C 1C9,22993,1170
DIXON RD and 401 X E DIXON W RAMP,M4N 3M5,21135,2
WESTON RD and GAYDON AVE,M9M 2S1,19649,386
CALEDONIA RD and KITCHENER AVE,M6E 4V1,7984,569
CALEDONIA RD and CASTLEFIELD AVE,M6B,17695,330
CASTLEFIELD AVE and KINCORT ST,M6M,9947,67
OAKWOOD AVE and ROGERS RD,M6E 2W1,13218,1539
ROGERS RD and CALEDONIA RD,M6E,16541,1438
ROGERS RD and SILVERTHORN AVE,M6M 3G7,9706,1050
VAUGHAN RD and WINONA DR,M6C 3V2,6617,219
OAKWOOD AVE and VAUGHAN RD,M6E,12014,1273
MARLEE AVE and GLENCAIRN AVE,M6B 3J6,13277,952
MARLEE AVE and ROSELAWN AVE,M6B,13325,1280
CUMMER AVE and WILLOWDALE AVE,M2M 2E6,16804,278
FINCH AVE E and WILLOWDALE AVE,M2N 4R5,24035,641
FINCH AVE W and SENTINEL RD,M3J 2T6,19759,3050
FINCH AVE W and 400 N FINCH E RAMP,Canada,35518,26
FINCH AVE W and SIGNET DR,M9L,34065,435
FINCH AVE W and MILVAN DR,M9M,23803,1329
FINCH AVE W and SENLAC RD,M2N,17028,557
WILSON AVE and CLAYSON RD,M9M 1A1,14275,152
WILSON AVE and HWY 401 WB OFF RAMP,Canada,15426,655
WILSON AVE and LEXFIELD AVE,M3M 1H5,14784,461
EASTERN AVE and CHERRY ST,M5A 1H1,15431,1266
BROADVIEW AVE and EASTERN AVE,M4M,13578,226
EASTERN AVE and LOGAN AVE,M4M 1C2,10832,609
EASTERN AVE and CARLAW AVE,M4M 1C8,13597,385
LAKE SHORE BLVD E and CHERRY ST,M5A 1B6,10659,390
QUEENS QUAY E and LOWER JARVIS ST,M5E 1Z2,7542,922
DON MILLS RD and WYNFORD DR,M3C,25791,1249
TRETHEWEY DR and TODD BAYLIS BLVD,M6M 4C2,8060,573
WOODBINE AVE and CORLEY AVE,M4E 2H8,10426,698
COLLEGE ST and MC CAUL ST,M5S 3E3,11346,7722
COLLEGE ST and AUGUSTA AVE,M5T 1S5,10055,3491
COLLEGE ST and BEVERLEY ST,M5S 2E3,13259,16624
COLLEGE ST and GRACE ST,M6G 3A7,7478,4262
COLLEGE ST and OSSINGTON AVE,M6J 3A6,13223,5290
COLLEGE ST and DOVERCOURT RD,M6H 1A4,11340,4611
COLLEGE ST and LANSDOWNE AVE,M6K 2W4,11489,1621
RONCESVALLES AVE and HIGH PARK BLVD,M6R 1M3,6002,2052
RONCESVALLES AVE and HOWARD PARK AVE,M6R 2J6,8973,1781
HARBORD ST and BRUNSWICK AVE,M5S 2M4,8846,1887
HARBORD ST and GRACE ST,M6G 1H1,9549,1833
OSSINGTON AVE and HARBORD ST,M6G 3T6,11364,894
ST GEORGE ST and WILLCOCKS ST,M5S 3G3,5840,5051
ST GEORGE ST and HARBORD ST,M5S 3G5,10431,21163
HOSKIN AVE and TOWER RD,M5S 1H8,6686,3033
DUPONT ST and SPADINA RD,M5R,20652,4549
DUPONT ST and CHRISTIE ST,M6G 4B1,15016,2610
DUPONT ST and OSSINGTON AVE,M6G 1Z8,15570,1091
DOVERCOURT RD and DUPONT ST,M6H 1Z2,15077,691
LANSDOWNE AVE and DUPONT ST,M6H 4J8,18677,2331
DUPONT ST and SYMINGTON AVE,M6P 3S2,13417,1581
ANNETTE ST and HIGH PARK AVE,M6P 1P6,10236,1068
ANNETTE ST and RUNNYMEDE RD,M6P 1S3,12443,1346
RUNNYMEDE RD and ST JOHNS RD,M6S 3A3,7148,765
HALLAM ST and DOVERCOURT RD,M6H 1X1,7058,1267
OSSINGTON AVE and HALLAM ST,M6G 3V7,8371,699
LANSDOWNE AVE and WALLACE AVE,M6H 1V5,10502,1974
SPADINA RD and LONSDALE RD,M5P 2W2,8695,4816
SPADINA RD and OLD FOREST HILL RD,M5P 2R4,9339,664
DUPLEX AVE and CASTLEFIELD AVE,M4P 2H7,7313,1144
DUPLEX AVE and GLENGROVE AVE W,M4R 1N6,6313,720
YONGE ST and PATRICIA AVE,M2M 3W5,24599,1121
WILSON AVE and DUBRAY AVE,M3K 1Z1,17962,1641
LAWRENCE AVE E and ORTON PARK RD,M1G 1R9,15279,654
DANFORTH RD and SAVARIN ST,M1J 1G2,13257,748
ST CLAIR AVE W and DEER PARK CRES,M4V 1N6,11639,6520
SHEPPARD AVE W and ARROW RD,M9M,10062,34
SHEPPARD AVE E and MIDLAND AVE,M1S,24715,1223
SHEPPARD AVE E and ALLANFORD RD,M1T 3K9,14419,1398
VICTORIA PARK AVE and CONSUMERS RD,M1T 1A1,31063,2504
EVANS AVE and EVANS W 427 C N RAMP,Canada,14078,51
EVANS AVE and 427 C S EVANS RAMP,Canada,13799,208
YONGE ST and GROSVENOR ST,M4Y 1B4,8449,11734
LESLIE ST and FINCH AVE E,M2J,29661,1294
FINCH AVE E and DON MILLS RD,M2J 4T6,32467,2482
FINCH AVE W and NORFINCH DR,M3N 1W8,36041,1708
WARDEN AVE and HUNTINGWOOD DR,M1W 2L6,20990,341
BAYVIEW AVE and GARNIER CRT,M2M 4H4,16921,640
DUFFERIN ST and PLAYFAIR AVE,M6B 3T4,17383,1486
BURNHAMTHORPE RD and RENFORTH DR,M9C,20486,312
BURNHAMTHORPE RD and THE WEST MALL,M9C,26965,1668
